sample-id,absolute-filepath,direction
P43,$PWD/fastq/P43_S45_L001_R1_001.fastq.gz,forward
P43,$PWD/fastq/P43_S45_L001_R2_001.fastq.gz,reverse
P44,$PWD/fastq/P44_S37_L001_R1_001.fastq.gz,forward
P44,$PWD/fastq/P44_S37_L001_R2_001.fastq.gz,reverse
P45,$PWD/fastq/P45_S29_L001_R1_001.fastq.gz,forward
P45,$PWD/fastq/P45_S29_L001_R2_001.fastq.gz,reverse
P46,$PWD/fastq/P46_S21_L001_R1_001.fastq.gz,forward
P46,$PWD/fastq/P46_S21_L001_R2_001.fastq.gz,reverse
P47,$PWD/fastq/P47_S13_L001_R1_001.fastq.gz,forward
P47,$PWD/fastq/P47_S13_L001_R2_001.fastq.gz,reverse
P48,$PWD/fastq/P48_S4_L001_R1_001.fastq.gz,forward
P48,$PWD/fastq/P48_S4_L001_R2_001.fastq.gz,reverse
P49,$PWD/fastq/P49_S92_L001_R1_001.fastq.gz,forward
P49,$PWD/fastq/P49_S92_L001_R2_001.fastq.gz,reverse
P4FG,$PWD/fastq/P4FG_S145_L001_R1_001.fastq.gz,forward
P4FG,$PWD/fastq/P4FG_S145_L001_R2_001.fastq.gz,reverse
P4,$PWD/fastq/P4_S72_L001_R1_001.fastq.gz,forward
P4,$PWD/fastq/P4_S72_L001_R2_001.fastq.gz,reverse
P50,$PWD/fastq/P50_S84_L001_R1_001.fastq.gz,forward
P50,$PWD/fastq/P50_S84_L001_R2_001.fastq.gz,reverse
P51,$PWD/fastq/P51_S76_L001_R1_001.fastq.gz,forward
P51,$PWD/fastq/P51_S76_L001_R2_001.fastq.gz,reverse
P52,$PWD/fastq/P52_S68_L001_R1_001.fastq.gz,forward
P52,$PWD/fastq/P52_S68_L001_R2_001.fastq.gz,reverse
P53,$PWD/fastq/P53_S60_L001_R1_001.fastq.gz,forward
P53,$PWD/fastq/P53_S60_L001_R2_001.fastq.gz,reverse
P54,$PWD/fastq/P54_S52_L001_R1_001.fastq.gz,forward
P54,$PWD/fastq/P54_S52_L001_R2_001.fastq.gz,reverse
P55,$PWD/fastq/P55_S44_L001_R1_001.fastq.gz,forward
P55,$PWD/fastq/P55_S44_L001_R2_001.fastq.gz,reverse
P56,$PWD/fastq/P56_S36_L001_R1_001.fastq.gz,forward
P56,$PWD/fastq/P56_S36_L001_R2_001.fastq.gz,reverse
P57,$PWD/fastq/P57_S109_L001_R1_001.fastq.gz,forward
P57,$PWD/fastq/P57_S109_L001_R2_001.fastq.gz,reverse
P58,$PWD/fastq/P58_S91_L001_R1_001.fastq.gz,forward
P58,$PWD/fastq/P58_S91_L001_R2_001.fastq.gz,reverse
P59,$PWD/fastq/P59_S83_L001_R1_001.fastq.gz,forward
P59,$PWD/fastq/P59_S83_L001_R2_001.fastq.gz,reverse
P5FG,$PWD/fastq/P5FG_S146_L001_R1_001.fastq.gz,forward
P5FG,$PWD/fastq/P5FG_S146_L001_R2_001.fastq.gz,reverse
P5,$PWD/fastq/P5_S64_L001_R1_001.fastq.gz,forward
P5,$PWD/fastq/P5_S64_L001_R2_001.fastq.gz,reverse
P60,$PWD/fastq/P60_S75_L001_R1_001.fastq.gz,forward
P60,$PWD/fastq/P60_S75_L001_R2_001.fastq.gz,reverse
P61,$PWD/fastq/P61_S67_L001_R1_001.fastq.gz,forward
P61,$PWD/fastq/P61_S67_L001_R2_001.fastq.gz,reverse
P62,$PWD/fastq/P62_S59_L001_R1_001.fastq.gz,forward
P62,$PWD/fastq/P62_S59_L001_R2_001.fastq.gz,reverse
P63,$PWD/fastq/P63_S51_L001_R1_001.fastq.gz,forward
P63,$PWD/fastq/P63_S51_L001_R2_001.fastq.gz,reverse
P64,$PWD/fastq/P64_S43_L001_R1_001.fastq.gz,forward
P64,$PWD/fastq/P64_S43_L001_R2_001.fastq.gz,reverse
P65,$PWD/fastq/P65_S35_L001_R1_001.fastq.gz,forward
P65,$PWD/fastq/P65_S35_L001_R2_001.fastq.gz,reverse
P66,$PWD/fastq/P66_S27_L001_R1_001.fastq.gz,forward
P66,$PWD/fastq/P66_S27_L001_R2_001.fastq.gz,reverse
P67,$PWD/fastq/P67_S19_L001_R1_001.fastq.gz,forward
P67,$PWD/fastq/P67_S19_L001_R2_001.fastq.gz,reverse
P68,$PWD/fastq/P68_S11_L001_R1_001.fastq.gz,forward
P68,$PWD/fastq/P68_S11_L001_R2_001.fastq.gz,reverse
P69,$PWD/fastq/P69_S110_L001_R1_001.fastq.gz,forward
P69,$PWD/fastq/P69_S110_L001_R2_001.fastq.gz,reverse
P6,$PWD/fastq/P6_S56_L001_R1_001.fastq.gz,forward
P6,$PWD/fastq/P6_S56_L001_R2_001.fastq.gz,reverse
P70,$PWD/fastq/P70_S90_L001_R1_001.fastq.gz,forward
P70,$PWD/fastq/P70_S90_L001_R2_001.fastq.gz,reverse
P71,$PWD/fastq/P71_S82_L001_R1_001.fastq.gz,forward
P71,$PWD/fastq/P71_S82_L001_R2_001.fastq.gz,reverse
P72,$PWD/fastq/P72_S74_L001_R1_001.fastq.gz,forward
P72,$PWD/fastq/P72_S74_L001_R2_001.fastq.gz,reverse
P73,$PWD/fastq/P73_S66_L001_R1_001.fastq.gz,forward
P73,$PWD/fastq/P73_S66_L001_R2_001.fastq.gz,reverse
P74,$PWD/fastq/P74_S58_L001_R1_001.fastq.gz,forward
P74,$PWD/fastq/P74_S58_L001_R2_001.fastq.gz,reverse
P75,$PWD/fastq/P75_S50_L001_R1_001.fastq.gz,forward
